codigo,placa,linha,latitude,longitude,dataHora,velocidade,id_migracao_trajeto,sentido,trajeto,hodometro,direcao,ignicao
902166,,25,-22.920058,-43.607675,1737420947000,0.0,,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],133131.1,270,1.0
902163,,12,-23.018027,-43.479999,1737420904000,57.3,,ida,12 - PINGO D'AGUA X ALVORADA (EXPRESSO) [IDA],142034.7,75,1.0
902168,,10,-22.998208,-43.58858,1737420924000,57.6,,volta,10 - ALVORADA X SANTA CRUZ (EXPRESSO) [VOLTA],116739.9,284,1.0
902140,,20,-22.936152,-43.667117,1737420819000,24.6,,volta,20 - SALVADOR ALLENDE X SANTA CRUZ (EXPRESSO) [VOLTA],124841.8,225,1.0
902159,,10,-22.918053,-43.683582,1737420947000,0.0,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],141096.0,76,1.0
902484,,67,-22.920258,-43.607756,1737420810000,0.0,,ida,67 - CAMPO GRANDE X TERMINAL DEODORO [IDA],45242.5,166,0.0
902468,,67,-22.864676,-43.419193,1737420928000,52.1,,volta,67 - TERMINAL DEODORO X CAMPO GRANDE [VOLTA],39288.1,254,1.0
902475,,68,-22.848008,-43.396582,1737035932000,0.7,,ida,68 - BANGU X TERMINAL DEODORO [IDA],28876.8,65,1.0
902466,,67,-22.920339,-43.607309,1737420943000,0.0,,ida,67 - CAMPO GRANDE X TERMINAL DEODORO [IDA],50729.2,171,1.0
902464,,68,-22.853482,-43.39244,1737420950000,22.5,,ida,68 - BANGU X TERMINAL DEODORO [IDA],36404.3,234,1.0
902462,,68,-22.8484,-43.396295,1737102506000,0.0,,ida,68 - BANGU X TERMINAL DEODORO [IDA],11463.2,237,0.0
902157,,10,-22.99518,-43.595191,1737420948000,55.8,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],114719.0,130,1.0
902478,,68,-22.849817,-43.397924,1737420122000,0.0,,ida,68 - BANGU X TERMINAL DEODORO [IDA],33944.7,134,0.0
